time,lon,lat,mode
2016-02-25 17:40:23,116.267920705,39.9408958946,6.0
2016-02-25 17:40:28,116.267902516,39.9405513984,6.0
2016-02-25 17:40:33,116.267902684,39.9401332671,6.0
2016-02-25 17:40:38,116.267892793,39.9397093524,6.0
2016-02-25 17:40:43,116.267871503,39.9393091584,6.0
2016-02-25 17:40:48,116.267902264,39.9389396841,6.0
2016-02-25 17:40:53,116.267906036,39.9387111515,6.0
2016-02-25 17:40:58,116.267928248,39.9384446908,6.0
2016-02-25 17:41:03,116.267927494,39.9382910086,6.0
2016-02-25 17:41:08,116.267939145,39.9381383742,6.0
2016-02-25 17:41:13,116.267958088,39.9379751785,6.0
2016-02-25 17:41:18,116.267962363,39.9378361646,6.0
2016-02-25 17:41:23,116.26797678,39.9377865438,6.0
2016-02-25 17:41:28,116.267983988,39.9377251882,6.0
2016-02-25 17:41:33,116.268001003,39.9375665607,6.0
2016-02-25 17:41:38,116.268003099,39.937444143,6.0
2016-02-25 17:41:43,116.268002261,39.9371905066,6.0
2016-02-25 17:41:48,116.267997231,39.9368193979,6.0
2016-02-25 17:41:53,116.267995807,39.9364870554,6.0
2016-02-25 17:41:58,116.268019779,39.9361174973,6.0
2016-02-25 17:42:03,116.268026652,39.935813318,6.0
2016-02-25 17:42:08,116.268077782,39.9353607791,6.0
2016-02-25 17:42:13,116.268139975,39.9348461721,6.0
2016-02-25 17:42:18,116.26818968,39.9343378935,6.0
2016-02-25 17:42:23,116.268263022,39.933774462,6.0
2016-02-25 17:42:28,116.268338291,39.9332581368,6.0
2016-02-25 17:42:33,116.268418171,39.9327905942,6.0
2016-02-25 17:42:38,116.268465445,39.9323826051,6.0
2016-02-25 17:42:42,116.268495033,39.9320048746,6.0
2016-02-25 17:42:49,116.268591508,39.931264082,6.0
2016-02-25 17:42:54,116.268681614,39.9308072683,6.0
2016-02-25 17:42:59,116.268731067,39.9304013746,6.0
2016-02-25 17:43:04,116.268793345,39.930011197,6.0
2016-02-25 17:43:09,116.26879477,39.9296274316,6.0
2016-02-25 17:43:14,116.268780688,39.9292364158,6.0
2016-02-25 17:43:19,116.268793345,39.9288302707,6.0
2016-02-25 17:43:24,116.268813796,39.9285399216,6.0
2016-02-25 17:43:29,116.268827291,39.9283566093,6.0
2016-02-25 17:43:34,116.268850258,39.9281784101,6.0
2016-02-25 17:43:39,116.268870458,39.9280450121,6.0
2016-02-25 17:43:44,116.268878924,39.9278119533,6.0
2016-02-25 17:43:49,116.268903902,39.9277026533,6.0
2016-02-25 17:43:53,116.268902728,39.9276799383,6.0
2016-02-25 17:44:04,116.268905662,39.9276878592,6.0
2016-02-25 17:44:09,116.268906333,39.9276031182,6.0
2016-02-25 17:44:14,116.268914715,39.9274737435,6.0
2016-02-25 17:44:19,116.268912954,39.9273900921,6.0
2016-02-25 17:44:24,116.268917313,39.9273024174,6.0
2016-02-25 17:44:29,116.268916223,39.9271592545,6.0
2016-02-25 17:44:34,116.268920833,39.9269114016,6.0
2016-02-25 17:44:39,116.268925192,39.9268825259,6.0
2016-02-25 17:44:44,116.268923683,39.9268612359,6.0
2016-02-25 17:44:50,116.268922845,39.9267503852,6.0
2016-02-25 17:44:55,116.26893173,39.9265800231,6.0
2016-02-25 17:45:00,116.268937765,39.9264222337,6.0
2016-02-25 17:45:05,116.268936424,39.9263957888,6.0
2016-02-25 17:45:10,116.268943548,39.9263149873,6.0
2016-02-25 17:45:15,116.268947991,39.9262128538,6.0
2016-02-25 17:45:26,116.268947404,39.9261667114,6.0
2016-02-25 17:45:31,116.268956792,39.9259551103,6.0
2016-02-25 17:45:35,116.268950505,39.9257748993,6.0
2016-02-25 17:45:40,116.268938687,39.9256715924,6.0
2016-02-25 17:45:45,116.26893743,39.925555503,6.0
2016-02-25 17:45:50,116.268918654,39.925454543,6.0
2016-02-25 17:45:56,116.268912284,39.9254090712,6.0
2016-02-25 17:46:01,116.268932568,39.9253933132,6.0
2016-02-25 17:46:06,116.26889661,39.9252026668,6.0
2016-02-25 17:46:11,116.268862076,39.9250313407,6.0
2016-02-25 17:46:16,116.268793931,39.9247324001,6.0
2016-02-25 17:46:21,116.268579438,39.9244358903,6.0
2016-02-25 17:46:26,116.268244246,39.92426557,6.0
2016-02-25 17:46:31,116.267882651,39.9241272267,6.0
2016-02-25 17:46:36,116.267598085,39.9239837286,6.0
2016-02-25 17:46:41,116.267307233,39.9238196528,6.0
2016-02-25 17:46:46,116.266962821,39.9236365082,6.0
2016-02-25 17:46:51,116.266510785,39.9234253681,6.0
2016-02-25 17:46:56,116.266085403,39.9232962449,6.0
2016-02-25 17:47:01,116.265860014,39.9232409243,6.0
2016-02-25 17:47:06,116.265586177,39.9232037086,6.0
2016-02-25 17:47:11,116.265143193,39.9231926026,6.0
2016-02-25 17:47:16,116.264624605,39.9231790239,6.0
2016-02-25 17:47:21,116.264111884,39.9231840112,6.0
2016-02-25 17:47:26,116.263545519,39.9231750844,6.0
2016-02-25 17:47:31,116.262922073,39.9231879507,6.0
2016-02-25 17:47:36,116.26231472,39.9232009426,6.0
2016-02-25 17:47:41,116.261702422,39.9232069357,6.0
2016-02-25 17:47:46,116.261131112,39.9232543772,6.0
2016-02-25 17:47:51,116.260573128,39.9232672435,6.0
2016-02-25 17:47:56,116.260068035,39.9232443609,6.0
2016-02-25 17:48:01,116.259603175,39.9232371105,6.0
2016-02-25 17:48:06,116.259200927,39.9232279323,6.0
2016-02-25 17:48:11,116.259105792,39.9232214364,6.0
2016-02-25 17:48:48,116.259133117,39.9232418044,6.0
2016-02-25 17:49:46,116.259151138,39.9233037467,6.0
2016-02-25 17:49:51,116.259060111,39.9232997233,6.0
2016-02-25 17:49:56,116.258780155,39.9232874858,6.0
2016-02-25 17:50:01,116.25836324,39.9232145632,2.0
2016-02-25 17:50:06,116.257815063,39.9232299859,2.0
2016-02-25 17:50:11,116.257167561,39.9231950334,2.0
2016-02-25 17:50:16,116.256462643,39.923216491,2.0
2016-02-25 17:50:21,116.255799383,39.9232034572,2.0
2016-02-25 17:50:26,116.255236454,39.9232009007,2.0
2016-02-25 17:50:31,116.254868237,39.9232025352,2.0
2016-02-25 17:50:36,116.254655086,39.9232931016,2.0
